CIUDAD;PROVINCIA;;;
Santo Domingo de Guzmán;Distrito Nacional;;;
Santiago de los Caballeros;Santiago;;;
Santo Domingo Este;Santo Domingo;;;
Santo Domingo Norte;Santo Domingo;;;
Santo Domingo Oeste;Santo Domingo;;;
San Felipe de Puerto Plata;Puerto Plata;;;
Concepción de la Vega;La Vega;;;
San Pedro de Macorís;San Pedro de Macorís;;;
La Romana;La Romana;;;
Los Alcarrizos (D.M.);Santo Domingo;;;
San Francisco de Macorís;Duarte;;;
San Cristóbal;San Cristóbal;;;
Salvaleón de Higüey;La Altagracia;;;
Santa Cruz de Barahona;Barahona;;;
Bonao;Monseñor Nouel;;;
San Juan de la Maguana;San Juan;;;
Baní;Peravia;;;
Bajos de Haina;San Cristóbal;;;
Moca;Espaillat;;;
Azua de Compostela;Azua;;;
Mao;Valverde;;;
Boca Chica;Santo Domingo;;;
Punta Cana;La Altagracia;;;
Cotuí;Sánchez Ramírez;;;
Esperanza;Valverde;;;
Villa Altagracia;San Cristóbal;;;
Hato Mayor del Rey;Hato Mayor;;;
Nagua;María Trinidad Sánchez;;;
Villa Bisonó;Santiago;;;
Jarabacoa;La Vega;;;
Constanza;La Vega;;;
Consuelo;San Pedro de Macorís;;;
Pedro Brand (D.M.);Santo Domingo;;;
Santa Cruz del Seibo;El Seibo;;;
Tamboril;Santiago;;;
Las Matas de Farfán;San Juan;;;
San José de Ocoa;San José de Ocoa;;;